time,open,high,low,close
2010-07-09 07:00:00,1932.14168183,1948.02229839,1927.43631396,1946.45384243
2010-07-12 07:00:00,1958.41331911,1960.96206004,1941.94453156,1950.37498233
2010-07-13 07:00:00,1951.3552673,1959.39360408,1947.23807041,1955.0803502
2010-07-14 07:00:00,1954.29612222,1954.29612222,1930.37716888,1945.66961446
2010-07-15 07:00:00,1931.55351084,1933.1219668,1898.81199275,1907.6345575
2010-07-16 07:00:00,1904.88975958,1921.16249013,1886.85251607,1892.34211192
2010-07-19 07:00:00,1895.08690985,1906.85032952,1892.14605493,1906.45821554
2010-07-20 07:00:00,1912.73203936,1922.53488909,1907.24244351,1922.53488909
2010-07-21 07:00:00,1938.21944866,1965.27531392,1854.69916896,1958.21726211
2010-07-22 07:00:00,1946.25778544,1984.0967854,1946.25778544,1984.0967854
2010-07-23 07:00:00,1978.60718955,1981.94015846,1956.45274916,1965.66742791
2010-07-26 07:00:00,1964.88319993,1975.66633463,1956.84486315,1972.92153671
2010-07-27 07:00:00,1976.25450561,1982.72438644,1962.334459,1968.02011184
2010-07-28 07:00:00,1965.27531392,1965.27531392,1948.02229839,1953.90400823
2010-07-29 07:00:00,1950.76709632,1969.19645381,1950.76709632,1955.86457818
2010-07-30 07:00:00,1957.82514812,1959.78571807,1942.92481653,1949.78681134
2010-08-02 07:00:00,1978.41113256,1981.15593048,1973.1175937,1979.39141753
2010-08-03 07:00:00,1963.11868698,1967.03982687,1957.62909113,1967.03982687
2010-08-04 07:00:00,1956.84486315,1971.74519474,1950.96315331,1971.74519474
2010-08-05 07:00:00,1975.07816365,1975.07816365,1962.138402,1969.3925108
2010-08-06 07:00:00,1973.90182168,1976.05844862,1936.25887872,1943.31693052
2010-08-09 07:00:00,1966.84376987,1975.86239163,1962.92262998,1972.13730873
2010-08-10 07:00:00,1959.39360408,1966.25559889,1956.06063517,1958.21726211
2010-08-11 07:00:00,1935.08253675,1939.19973363,1920.77037614,1922.92700308
2010-08-12 07:00:00,1911.94781138,1933.90619478,1911.94781138,1933.90619478
2010-08-13 07:00:00,1943.31693052,1946.84595642,1936.25887872,1937.82733467
2010-08-16 07:00:00,1940.18001861,1946.84595642,1935.47465074,1938.41550566
2010-08-17 07:00:00,1949.00258336,1983.9007284,1949.00258336,1983.9007284
2010-08-18 07:00:00,1968.60828283,1969.78462479,1959.19754708,1969.78462479
2010-08-19 07:00:00,1985.27312737,1985.27312737,1952.72766626,1952.72766626
2010-08-20 07:00:00,1959.98177506,1968.41222583,1955.86457818,1957.82514812
